RegionName,PTR,ROI,COC,RStdDev
1007,17.00603318,9.79401E-05,0.033387946,40.77376608
7480,8.675230061,0.001508718,0.200079343,81.28204235
75409,11.9513842,0.229408564,0.102276658,73.61703972
18938,34.4382146,0.068282248,-0.063230183,44.04448509
33896,12.13950369,0.076049235,0.098024775,80.20037618
7522,5.79946319,0.326255101,0.338756935,81.28204235
98663,16.0442155,0.376161568,0.046207974,108.107778
85653,15.13926325,0.086410467,0.051168591,42.83554019
91901,24.37386157,0.237388673,-0.022558234,129.6726517
91204,26.44837145,0.385672908,-0.034851177,152.3004131
4064,14.18222795,0.124331591,0.068366796,108.107778
60417,8.22630862,-0.021805466,0.191126987,52.30903071
30360,19.05263158,0.21152398,0.015687988,82.5182468
19363,13.86323659,0.01774188,0.071610421,44.04448509
64057,12.61481481,0.094578526,0.083089905,42.54244579
18969,14.41292876,0.001619705,0.064113487,44.04448509
37188,12.4972092,0.222722209,0.09327406,82.46228266
93630,14.27941547,0.185096122,0.064684144,61.96616918
20187,17.4865394,0.026210621,0.031423313,40.40026142
50311,11.71899046,0.050142042,0.0948723,20.28263307
89138,28.3449793,0.228609408,-0.04042215,65.77163
68132,17.27204783,0.115735198,0.0298661,41.38767481
74146,7.201646091,-0.084364262,0.183047948,17.97541783
7066,13.81326687,0.11582887,0.081537003,81.28204235
20012,29.80502529,0.213409445,-0.049290792,40.40026142
7031,11.20270961,0.055199325,0.130957135,81.28204235
22026,12.13085332,0.03650238,0.105709979,40.40026142
80236,19.06399522,0.492447047,0.016391544,103.8383261
33957,46.51741294,0.176654814,-0.092711026,105.6052527
78645,15.56422433,0.261073905,0.050818051,53.17541725
15203,13.29605468,0.273136959,0.07352737,18.25259743
29325,6.554227156,-0.05659411,0.212235816,47.84480118
92344,13.8092613,0.248517749,0.077022785,101.9240121
23661,8.598602484,0.080641555,0.164421863,21.55516179
50316,7.333025546,0.033140726,0.183699442,20.28263307
94960,34.68903437,0.34383008,-0.069840458,214.0716907
77510,11.22015611,0.187803596,0.114512084,33.66578685
77554,20.63820018,0.232826227,0.003118605,33.66578685
92010,29.29568913,0.194148979,-0.047406378,129.6726517
70121,10.48406863,0.097530076,0.125419697,32.57462651
8107,9.075417766,-0.085986979,0.159409632,44.04448509
6470,14.60219152,-0.036759237,0.065716239,51.62893345
93728,10.30486269,0.141087521,0.128269514,61.96616918
15116,15.40074557,0.054896652,0.047669095,18.25259743
29631,15.52803871,0.160758696,0.047933346,47.84480118
1907,18.21594322,0.157363994,0.02515144,98.07949625
20905,19.37918094,-0.003451527,0.013510191,40.40026142
11429,14.73351227,0.176649216,0.067813794,81.28204235
4043,18.44279888,0.152951398,0.021249758,108.107778
28023,8.272727273,0.019798282,0.176288089,70.56674724
48025,29.7822374,0.095129747,-0.045162012,42.45016085
92587,18.10915105,0.171460581,0.02507144,101.9240121
22151,19.71365639,0.013528392,0.010689769,40.40026142
48362,16.85169371,0.213599697,0.03449627,42.45016085
92225,6.766813671,0.262546178,0.252173081,101.9240121
15211,9.972041007,0.373482377,0.126682482,18.25259743
23838,21.8860725,0.090345587,-0.005527818,40.17452361
1106,21.5057818,0.027996533,-0.003049426,40.77376608
15238,27.02702703,0.123680765,-0.033021273,18.25259743
16002,14.83379932,-0.032923634,0.053372738,18.25259743
30011,10.07602339,0.244906217,0.137304054,82.5182468
72103,12.15720355,0.035928365,0.081057541,13.34720792
94920,77.19858156,0.317893261,-0.133656126,214.0716907
11788,14.64723926,0.048966651,0.06819947,81.28204235
35045,7.885642476,-0.125481247,0.165608897,24.6559489
76266,10.71910871,0.183472389,0.124937233,73.61703972
29033,8.457019171,-0.016956158,0.154948346,28.14766094
2746,12.43333333,0.199131996,0.094277527,75.63484714
94505,16.70485543,0.201588907,0.04291517,214.0716907
91902,26.12704918,0.15624895,-0.032196381,129.6726517
32669,13.38121841,0.045569581,0.074689362,85.64327416
55436,32.22783389,0.152819319,-0.056298494,66.49397702
19003,18.21679859,0.074749231,0.023029498,44.04448509
93631,16.93121693,0.130532797,0.034541495,61.96616918
13209,10.34248898,-0.044186775,0.112471774,36.19932536
63069,14.70588235,0.011746596,0.054751257,28.58788217
45243,29.66755714,0.238380503,-0.044969612,45.381349
60429,4.72368165,-0.159529302,0.336482832,52.30903071
21074,14.12438119,-0.025360553,0.068757557,21.02478696
30656,10.54385965,0.228306225,0.127353932,82.5182468
93263,13.09003497,0.093870793,0.0768893,33.71694653
95138,41.13814318,0.397973409,-0.087871434,197.0640414
32827,20.86407333,0.204166358,0.001446307,80.20037618
11726,10.0204499,0.080105531,0.160738589,81.28204235
77029,5.25137741,0.072577762,0.290597233,33.66578685
15613,8.884746816,-0.075234223,0.144434955,18.25259743
39272,9.475177305,-0.007241342,0.137980559,20.37870621
64701,11.82962963,-0.019222502,0.093812973,42.54244579
39701,5.850027824,-0.133025442,0.23703003,50.37684518
32951,25.40422886,0.241839503,-0.026606578,100.2566774
43125,11.65831942,0.180061467,0.100206999,50.37684518
76118,11.06234526,0.25859442,0.118789948,73.61703972
94965,36.88216039,0.339566347,-0.076521158,214.0716907
60415,8.323603814,-0.009049446,0.188422888,52.30903071
32615,12.31710561,0.07908115,0.090376909,85.64327416
97386,12.49334398,0.246207267,0.088785408,34.33186378
15057,15.09785648,0.004827722,0.050680748,18.25259743
8062,19.29969217,0.02385396,0.013542941,44.04448509
7882,14.02137086,0.002889365,0.066322297,41.5376233
11703,9.237602249,-0.089924638,0.179922771,81.28204235
21210,28.79022277,0.106676432,-0.043259284,21.02478696
34669,9.811165846,0.114593986,0.141684637,73.6230517
94507,51.7075832,0.322835877,-0.107424073,214.0716907
7005,13.65350204,0.005667323,0.083147447,81.28204235
74104,11.90250079,0.190867377,0.092139962,17.97541783
1520,20.11648746,0.104566573,0.006873801,68.91244568
77059,17.27502296,0.082634507,0.03170504,33.66578685
11963,54.79614008,0.900944486,-0.114849353,81.28204235
76207,13.20054018,0.185348367,0.081851544,73.61703972
4090,18.40523718,0.110132957,0.021504687,108.107778
35115,10.34401508,-0.082073246,0.115430857,24.6559489
46373,13.85483557,0.042213679,0.074019007,52.30903071
48855,18.10418446,0.261638791,0.023056631,42.45016085
32653,12.64964086,0.090458772,0.085435941,85.64327416
27574,7.848981619,-0.088095461,0.184462173,53.84777928
45249,27.58236866,0.132818988,-0.035843413,45.381349
12771,4.169861963,-0.189795773,0.444067296,81.28204235
6416,16.33738602,-0.047562794,0.039808771,32.86493179
77002,24.51790634,0.131068372,-0.021894077,33.66578685
23663,8.17805383,-0.004061758,0.17402675,21.55516179
64112,24.66666667,0.107826813,-0.021642807,42.54244579
15243,17.45883815,0.112560101,0.027874472,18.25259743
62034,15.46489564,-0.035904665,0.046319898,28.58788217
97218,20.84138227,0.384112639,0.001647471,108.107778
20186,15.16560613,0.019304554,0.058261424,40.40026142
78642,20.51673451,0.242816732,0.004047044,53.17541725
1118,10.71518351,0.031370604,0.119210037,40.77376608
92866,24.53222453,0.188996742,-0.023638447,152.3004131
62294,14.52403542,-0.025988659,0.056587429,28.58788217
94556,38.22967812,0.135305949,-0.078783798,214.0716907
66207,23.36296296,0.263809138,-0.014613659,42.54244579
30103,8,0.117998717,0.187800759,82.5182468
68108,5.859491779,-0.10275411,0.228982759,41.38767481
98321,17.23806912,0.358879744,0.03432613,131.9832885
37135,23.46505916,0.227052957,-0.016001176,82.46228266
12308,8.153620873,-0.087618423,0.171346006,34.33186378
25309,6.399413622,-0.090122012,0.240308868,73.53763671
25313,7.211321606,-0.109201206,0.210957366,73.53763671
29061,8.23283859,0.03808252,0.160830153,28.14766094
1532,28.27700973,0.153289931,-0.039931229,68.91244568
68131,8.946188341,0.044511732,0.146948954,41.38767481
7940,22.338318,0.038969917,-0.009385842,81.28204235
11780,15.29588446,0.021621149,0.058901833,81.28204235
53717,23.93214382,0.118702166,-0.017996101,38.71275915
11362,30.91768916,0.218046116,-0.054986722,81.28204235
19806,16.2708883,-0.017970151,0.041979164,44.04448509
45233,15.31611754,0.05836113,0.049236165,45.381349
64082,21.17037037,0.064828614,-0.000732738,42.54244579
30107,14.07602339,0.256922342,0.069036203,82.5182468
77441,23.80050505,0.054623227,-0.017646067,33.66578685
77447,11.75964187,0.13175657,0.104264804,33.66578685
55398,12.85072952,0.185573282,0.087257254,66.49397702
14513,7.393121183,-0.158437804,0.175475724,35.78363505
55376,15.30864198,0.087697614,0.053187857,66.49397702
70447,15.58823529,-0.004965395,0.048409684,32.57462651
62629,10.85972851,-0.116275264,0.114665076,40.77376608
77474,11.7194674,0.092296953,0.104621399,33.66578685
33843,4.71473851,0.108669829,0.295643372,64.55478083
63025,23.13409235,0.08223467,-0.012876343,28.58788217
87104,15.45057686,0.03667052,0.047009669,28.96700856
44119,5.362318841,-0.105331739,0.236969228,26.65282911
2771,18.35555556,0.106415468,0.021795117,75.63484714
94709,41.31751227,0.501891122,-0.089041439,214.0716907
7514,7.052019427,0.136512857,0.267533924,81.28204235
60463,13.05215022,-0.001912103,0.085721544,52.30903071
37854,6.388888889,-0.015416363,0.218195167,41.80961872
91436,57.31808732,0.288064458,-0.113601309,152.3004131
70452,8.057598039,0.056806355,0.181989179,32.57462651
48381,21.84030743,0.128644927,-0.005200614,42.45016085
2090,24.44376194,0.077291086,-0.022883687,98.07949625
48017,13.34329633,0.138481903,0.07428115,42.45016085
93268,7.466491841,-0.084915388,0.182869435,33.71694653
7481,22.80483129,-0.076298256,-0.01238707,81.28204235
7733,20.23261759,-0.005585338,0.006619523,81.28204235
75244,25.86653162,0.354445037,-0.029728611,73.61703972
13421,9.138691082,-0.105383055,0.133677343,36.19932536
11702,12.74603783,0.070217424,0.099552067,81.28204235
78255,23.52746962,0.053646362,-0.015640923,48.38159683
28016,6.321212121,0.057166025,0.23881189,70.56674724
67002,19.11139456,0.008101819,0.012787363,7.887872807
38139,26.6310307,0.037398122,-0.031653182,26.59941562
7044,15.93174847,0.115592225,0.051137067,81.28204235
1095,17.84188034,0.012834349,0.025581129,40.77376608
13215,16.31909122,0.00413914,0.037174559,36.19932536
11411,14.35966258,0.116134905,0.072975514,81.28204235
20194,25.69750367,-0.02690229,-0.029043171,40.40026142
23509,10.20315735,0.131800582,0.129042936,21.55516179
35120,12.92020107,-0.076610459,0.076044684,24.6559489
6461,19.37913299,-0.025576688,0.012544365,35.24911346
75057,11.12986721,0.416438709,0.118581396,73.61703972
10470,14.8900818,0.207652787,0.065726743,81.28204235
98660,16.1729985,0.418286198,0.04485648,108.107778
1835,11.88916189,0.175246291,0.115985887,98.07949625
1331,10.19585253,0.131516609,0.129672356,68.91244568
99218,20.05913477,0.220849148,0.007056654,65.1803294
37777,14.65099715,0.068379953,0.057426462,41.80961872
74467,6.339031339,-0.104512653,0.207190751,17.97541783
44141,22.06119163,0.061809727,-0.006402657,26.65282911
78219,7.105124142,0.109232609,0.204688586,48.38159683
18512,11.46327014,-0.029836092,0.089161106,26.87531047
73122,10.02629849,0.045693372,0.120370556,8.872586383
34984,11.41975309,0.394844729,0.113633563,96.45856676
55130,9.764309764,0.222450944,0.145964343,66.49397702
72227,18.53032059,-0.02836673,0.017399212,13.34720792
1864,18.93598144,0.171563665,0.018191789,98.07949625
10965,14.29575665,0.024037647,0.073219176,81.28204235
78248,24.14157422,0.142703544,-0.019300962,48.38159683
53074,15.48853283,0.030882026,0.046481849,24.07240001
18643,10.69312796,-0.121604633,0.099381371,26.87531047
